"STATEFIP","YEAR","total_pop","bach_pop","hs_pop","assoc_pop","masters_pop","drs_pop"
1,2000,1531294,366846,834824,162140,145153,22331
1,2004,1668813,398768,884667,198097,161298,25983
1,2008,1799699,420962,979366,204430,169564,25377
1,2012,893318,450959,0,227969,185956,28434
1,2016,989675,487746,0,260917,208372,32640
1,2020,1105469,536864,0,290327,239936,38342
2,2000,211254,60043,95726,28814,23238,3433
2,2004,237404,68615,108482,31116,25411,3780
2,2008,260007,70222,121935,34474,29004,4372
2,2012,151394,77625,0,37018,31160,5591
2,2016,164419,85521,0,38367,34622,5909
2,2020,176361,91192,0,42020,36899,6250
4,2000,1725690,463123,834872,214292,187056,26347
4,2004,2028328,547943,945958,270122,226358,37947
4,2008,2357485,661639,1065079,320967,267796,42004
4,2012,1370768,699978,0,340388,284595,45807
4,2016,1541285,776770,0,379708,331409,53398
4,2020,1797884,907136,0,428901,397276,64571
5,2000,898761,172962,574081,75436,63805,12477
5,2004,1002138,208578,622532,84720,71083,15225
5,2008,1099802,234801,663389,106260,81522,13830
5,2012,475436,251983,0,117106,92588,13759
5,2016,523982,272154,0,126588,106981,18259
5,2020,596515,302391,0,150206,125772,18146
6,2000,11066347,3638795,4337354,1562891,1294265,233042
6,2004,12474112,4212207,4789947,1671653,1503871,296434
6,2008,13287650,4378307,5187509,1774191,1629684,317959
6,2012,8627993,4658524,0,1858233,1763644,347592
6,2016,9543408,5126646,0,1991461,2031635,393666
6,2020,10667156,5758944,0,2101536,2358977,447699
8,2000,1684581,606822,640088,168184,221199,48288
8,2004,1841436,632753,699826,222061,251276,35520
8,2008,2058640,722082,765114,241587,288255,41602
8,2012,1416123,782008,0,266167,319207,48741
8,2016,1607544,873627,0,301593,375333,56991
8,2020,1858503,1014342,0,329262,446712,68187
9,2000,1424672,437575,608803,145054,207430,25810
9,2004,1576059,458687,681489,158410,242996,34477
9,2008,1611014,468466,680312,175481,252199,34556
9,2012,986631,495189,0,178586,273540,39316
9,2016,1047540,524990,0,182458,299068,41024
9,2020,1107542,551107,0,193660,320584,42191
10,2000,318577,81159,171800,28469,31244,5905
10,2004,351299,93678,169552,39103,40939,8027
10,2008,372730,92194,186896,42917,43496,7227
10,2012,203033,103385,0,43072,47441,9135
10,2016,235062,118610,0,49320,56051,11081
10,2020,263723,129308,0,53587,67256,13572
11,2000,211440,71437,79789,7377,39635,13202
11,2004,234587,80909,73873,8837,57497,13471
11,2008,257596,83312,84636,12866,61551,15231
11,2012,192289,94358,0,12182,69282,16467
11,2016,235340,110461,0,14771,90982,19126
11,2020,269974,126786,0,15290,107812,20086
12,2000,6388672,1623133,3364491,780714,527687,92647
12,2004,7123386,1886612,3505492,924337,693235,113710
12,2008,7914333,2102149,3881231,1060658,750106,120189
12,2012,4305475,2203612,0,1142298,823501,136064
12,2016,4984359,2509759,0,1348640,968912,157048
12,2020,5817817,2927931,0,1522534,1188873,178479
13,2000,2824830,758768,1506102,247246,275454,37260
13,2004,3234431,927608,1616914,317304,324646,47959
13,2008,3741637,1060597,1825190,395147,401503,59200
13,2012,2032073,1103662,0,421941,437666,68804
13,2016,2282967,1204517,0,483301,510561,84588
13,2020,2644515,1375779,0,559495,612508,96733
15,2000,511717,154846,236733,66548,44808,8782
15,2004,537823,160198,243867,72889,51930,8939
15,2008,576493,166906,258060,85011,56625,9891
15,2012,345373,183479,0,90968,60088,10838
15,2016,384645,204377,0,99431,66989,13848
15,2020,419724,218212,0,108283,78203,15026
16,2000,471310,122133,244476,62949,34192,7560
16,2004,496277,134483,238291,68991,45346,9166
16,2008,566006,156394,272579,81346,47081,8606
16,2012,315552,166913,0,85166,52638,10835
16,2016,352561,184711,0,95857,59627,12366
16,2020,422547,221289,0,113228,73056,14974
17,2000,4701164,1344448,2283669,481797,508284,82966
17,2004,4983186,1437023,2267800,563098,615800,99465
17,2008,5264127,1540702,2371204,604130,658554,89537
17,2012,3051825,1624597,0,621163,713011,93054
17,2016,3314173,1740750,0,670216,796400,106807
17,2020,3578688,1876907,0,701928,879633,120220
18,2000,2348058,452008,1445465,212593,208254,29738
18,2004,2470620,529484,1431834,251318,224220,33764
18,2008,2675690,595272,1504380,300624,239756,35658
18,2012,1238512,623350,0,326663,248920,39579
18,2016,1367604,680880,0,360395,283960,42369
18,2020,1535611,766985,0,395421,325883,47322
19,2000,1223934,272893,702301,139778,94023,14939
19,2004,1266332,318951,676230,161806,93153,16192
19,2008,1319347,330630,691115,182439,98066,17097
19,2012,692078,351036,0,210341,110018,20683
19,2016,763816,378748,0,234065,127472,23531
19,2020,833313,414439,0,252486,141433,24955
20,2000,1029038,283174,519600,108508,108248,9508
20,2004,1098572,323567,516480,126604,112841,19080
20,2008,1149394,345654,526285,132740,126481,18234
20,2012,658179,360884,0,139008,138738,19549
20,2016,708424,376712,0,151357,157208,23147
20,2020,773936,407245,0,165551,176086,25054
21,2000,1368487,236629,881498,122111,109030,19219
21,2004,1560719,300476,939716,151051,149772,19704
21,2008,1694869,340055,990648,184340,158992,20834
21,2012,751123,359091,0,197144,172148,22740
21,2016,855206,396758,0,232220,198647,27581
21,2020,958927,449174,0,258769,218796,32188
22,2000,1489536,346134,924057,76917,117856,24572
22,2004,1613086,396879,944729,119122,128668,23688
22,2008,1616316,375570,968907,129389,121516,20934
22,2012,733772,420338,0,149596,139736,24102
22,2016,825239,460085,0,173861,161393,29900
22,2020,923988,494783,0,204042,193388,31775
23,2000,558275,132267,291924,73187,53649,7248
23,2004,615474,158939,319933,75394,52964,8244
23,2008,637993,153713,333779,82013,59737,8751
23,2012,324492,164506,0,85673,64411,9902
23,2016,358130,181719,0,93773,69936,12702
23,2020,397183,199127,0,99824,84763,13469
24,2000,2112498,594311,943770,205233,305688,63496
24,2004,2309019,684376,982237,207997,356018,78391
24,2008,2442936,730633,999329,240249,390566,82159
24,2012,1538549,777218,0,244377,425846,91108
24,2016,1691918,838593,0,263584,488317,101424
24,2020,1853735,908565,0,279225,553541,112404
25,2000,2785199,833211,1180171,289394,403296,79127
25,2004,2975541,927641,1182940,324442,445684,94834
25,2008,3062424,951715,1200915,329598,487253,92943
25,2012,1956328,990363,0,342124,521825,102016
25,2016,2140366,1071954,0,359180,590530,118702
25,2020,2367847,1177872,0,371393,677676,140906
26,2000,3746824,920567,1951107,465665,363441,46044
26,2004,3974101,971776,2020893,488051,430506,62875
26,2008,4188691,1022397,2127974,526440,452345,59535
26,2012,2121269,1037814,0,547062,473383,63010
26,2016,2329912,1118522,0,606571,526504,78315
26,2020,2575767,1239876,0,658002,593269,84620
27,2000,1946724,607741,943614,209021,149875,36473
27,2004,2134426,685433,937895,291488,191808,27802
27,2008,2290425,724351,965340,331925,230592,38217
27,2012,1415381,764828,0,351666,258124,40763
27,2016,1573867,827606,0,404198,290151,51912
27,2020,1749812,916320,0,441439,336784,55269
28,2000,903508,217141,515019,106978,56778,7592
28,2004,981459,220602,557141,115077,78196,10443
28,2008,1040084,229352,574399,138327,84285,13721
28,2012,505782,242202,0,151372,96243,15965
28,2016,553739,254622,0,170988,110405,17724
28,2020,617594,272029,0,200613,124483,20469
29,2000,2077852,517433,1134361,193721,196666,35671
29,2004,2285835,561672,1226508,221459,236522,39674
29,2008,2431121,608689,1284915,251161,248697,37659
29,2012,1224694,638444,0,270300,274311,41639
29,2016,1358597,699692,0,307375,304166,47364
29,2020,1506150,765589,0,339386,349418,51757
30,2000,333493,103067,171338,26934,26636,5518
30,2004,387653,118473,194045,40197,27805,7133
30,2008,415035,118237,206902,48253,35431,6212
30,2012,235305,132937,0,53825,40449,8094
30,2016,253803,137484,0,61329,46429,8561
30,2020,291610,158648,0,70093,52638,10231
31,2000,657365,185959,334949,80005,49463,6989
31,2004,705422,197031,347025,94626,58277,8463
31,2008,733907,209432,347533,100386,65818,10738
31,2012,424548,228670,0,111221,72528,12129
31,2016,475310,252335,0,121799,86381,14795
31,2020,522096,273358,0,132178,100115,16445
32,2000,678532,141650,398520,88551,39030,10781
32,2004,873213,183417,482283,121249,73074,13190
32,2008,965471,240095,511261,119804,82295,12016
32,2012,501202,264273,0,132140,90735,14054
32,2016,569114,292820,0,153549,106114,16631
32,2020,672087,348932,0,175210,127717,20228
33,2000,533322,150804,237117,75246,59510,10645
33,2004,582542,174768,250043,75362,69441,12928
33,2008,627972,186933,273556,80357,76400,10726
33,2012,374193,193006,0,85034,84209,11944
33,2016,405784,205805,0,90726,95826,13427
33,2020,450521,224806,0,100830,109818,15067
34,2000,3499388,1084938,1646010,251929,438740,77771
34,2004,3793047,1184661,1724176,327669,487115,69426
34,2008,3964667,1234690,1767261,359969,526821,75926
34,2012,2334425,1313063,0,369071,569694,82597
34,2016,2521711,1409584,0,387731,631915,92481
34,2020,2745414,1520329,0,408685,715026,101374
35,2000,587745,146340,290755,65695,73946,11009
35,2004,661825,162395,317670,81819,76338,23603
35,2008,729423,178881,347044,90792,92254,20452
35,2012,418862,191834,0,101647,101550,23831
35,2016,454638,205351,0,111361,112821,25105
35,2020,493411,223988,0,121597,122780,25046
36,2000,7503985,1962071,3496637,901616,1018123,125538
36,2004,8133315,2170830,3745709,960755,1107541,148480
36,2008,8552744,2341594,3760341,1043492,1239638,167679
36,2012,5021233,2447903,0,1085878,1311962,175490
36,2016,5466329,2655693,0,1158095,1454933,197608
36,2020,5891241,2848668,0,1198813,1624689,219071
37,2000,2897136,809700,1448556,360041,236362,42477
37,2004,3291560,923548,1595642,432409,284424,55537
37,2008,3649635,1022060,1724814,482504,357399,62858
37,2012,2128139,1122217,0,537039,397043,71840
37,2016,2435645,1251096,0,606009,492447,86093
37,2020,2832188,1442298,0,700574,594209,95107
38,2000,239099,69261,120583,34296,12332,2627
38,2004,255397,72714,118306,44254,16595,3528
38,2008,271009,81172,120395,48077,18098,3267
38,2012,170614,89743,0,55410,21196,4265
38,2016,193136,99143,0,64016,24412,5565
38,2020,211964,108384,0,69744,28662,5174
39,2000,4577315,1045277,2748328,414981,324223,44506
39,2004,4873523,1112829,2759847,507065,428185,65597
39,2008,5024810,1157872,2772444,554113,471488,68893
39,2012,2371874,1207237,0,592566,498817,73254
39,2016,2611455,1307193,0,659250,560457,84555
39,2020,2870884,1437485,0,696516,644817,92066
40,2000,1195342,303881,660655,110146,104839,15821
40,2004,1304096,339024,712476,131375,103420,17801
40,2008,1417520,350450,771241,156391,119799,19639
40,2012,702860,376530,0,174857,129808,21665
40,2016,773041,413503,0,187430,148266,23842
40,2020,843619,443198,0,204727,168334,27360
41,2000,1259734,362008,598865,151438,121090,26333
41,2004,1392706,416173,621437,169494,161969,23633
41,2008,1541355,451777,677591,204668,175875,31444
41,2012,923884,482607,0,212784,193240,35253
41,2016,1041205,535847,0,236311,227362,41685
41,2020,1206447,624030,0,265306,265813,51298
42,2000,5282395,1132098,3163728,495504,406340,84725
42,2004,5564499,1266723,3174434,541903,502102,79337
42,2008,5848345,1352919,3217047,611133,570272,96974
42,2012,2824263,1432368,0,648274,635083,108538
42,2016,3130474,1570134,0,713129,724090,123121
42,2020,3477564,1746138,0,767741,824124,139561
44,2000,403077,108310,188614,49087,48847,8219
44,2004,445338,119338,209322,52590,54804,9284
44,2008,452921,129732,204771,51559,58723,8136
44,2012,259662,131099,0,56609,62298,9656
44,2016,278543,140051,0,60002,65670,12820
44,2020,300829,154393,0,60124,73290,13022
45,2000,1486136,406137,749084,177083,139359,14473
45,2004,1630897,446462,812075,205133,148228,18999
45,2008,1804176,441932,927591,235269,174696,24688
45,2012,971237,485511,0,263167,193722,28837
45,2016,1109958,551362,0,295802,228090,34704
45,2020,1296985,633067,0,343444,277920,42554
46,2000,281137,73041,151512,33322,19204,4058
46,2004,307925,82997,160952,41140,19195,3641
46,2008,343881,89330,177796,46916,25281,4558
46,2012,181998,96587,0,50954,28050,6407
46,2016,206999,109829,0,60957,30246,5967
46,2020,228208,118192,0,68076,35174,6766
47,2000,2053192,510077,1173251,162537,175539,31788
47,2004,2269733,553925,1267942,208039,204877,34950
47,2008,2482816,599114,1386493,238988,217236,40985
47,2012,1194744,644098,0,263601,242326,44719
47,2016,1354682,714488,0,301560,287936,50698
47,2020,1562114,821028,0,347192,335418,58476
48,2000,6779887,2067999,3318620,684214,606169,102885
48,2004,7585543,2369990,3529344,799665,761591,124953
48,2008,8363289,2505630,3930658,933476,860859,132666
48,2012,4901866,2759947,0,1006303,981994,153622
48,2016,5667974,3149207,0,1152314,1186070,180383
48,2020,6670679,3650040,0,1355458,1450065,215116
49,2000,697708,213707,293729,94139,72945,23188
49,2004,797295,255298,336856,117060,72926,15155
49,2008,939344,294611,388329,141586,96480,18338
49,2012,589649,314052,0,148445,106774,20378
49,2016,674336,355393,0,166279,129010,23654
49,2020,798645,427314,0,187213,156813,27305
50,2000,272595,65035,139190,30137,33772,4461
50,2004,295949,82211,136297,34460,35995,6986
50,2008,310463,88003,139406,37268,38603,7183
50,2012,175626,91429,0,36012,41486,6699
50,2016,181763,95090,0,35630,43523,7520
50,2020,200210,103700,0,38510,48993,9007
51,2000,2725782,887594,1165501,253429,368990,50268
51,2004,3045495,933334,1267541,312927,464682,67011
51,2008,3274858,1004692,1354020,340880,497911,77355
51,2012,2092825,1084889,0,366479,559142,82315
51,2016,2338800,1182608,0,411599,647162,97431
51,2020,2611140,1302467,0,459165,738786,110722
53,2000,2280464,707434,970074,290222,274866,37868
53,2004,2501579,816807,985619,343885,310454,44814
53,2008,2713384,853243,1078711,405137,324036,52257
53,2012,1753070,910230,0,429372,353332,60136
53,2016,1979174,1022940,0,471896,415019,69319
53,2020,2309672,1181170,0,522793,522036,83673
54,2000,698478,94757,495794,49593,43109,15225
54,2004,751967,126189,504061,61675,49973,10069
54,2008,791842,129466,520588,74599,59647,7542
54,2012,289387,138723,0,79320,61993,9351
54,2016,323534,152125,0,87072,73862,10475
54,2020,354021,164097,0,96724,81483,11717
55,2000,2156789,540279,1184449,243127,168924,20010
55,2004,2285148,580612,1172507,309239,195349,27441
55,2008,2498956,630134,1273424,333869,227484,34045
55,2012,1301036,658492,0,358744,245943,37857
55,2016,1448227,735112,0,403069,269042,41004
55,2020,1588312,812981,0,435450,292109,47772
56,2000,177334,53343,88325,18530,15002,2134
56,2004,206461,55809,102296,28284,17525,2547
56,2008,218446,52476,110004,34734,18000,3232
56,2012,121937,59392,0,36518,21754,4273
56,2016,138154,67179,0,41950,23959,5066
56,2020,149067,69892,0,44638,30111,4426
