state,year,total_votes,dem_votes,rep_votes,unemployment_rate,median_income,med_age,bach_per,voter_participation,voting_age_pop,Population 18-24,Population 25-44,Population 45-64,Population 65+,dem_votes_per,rep_votes_per,dem_win
ALABAMA,2000,1672551,695602.0,944409.0,4.7,60570,43.0,0.23956601410310496,60.4,3329900.0,442244,1284371,1022405,580880,0.4158928487083503,0.5646518402129442,False
ALASKA,2000,285530,79004.0,167398.0,6.3,52850,41.0,0.2842218372196503,67.7,437348.0,57670,202899,140673,36106,0.27669246664098346,0.586271144888453,False
ARIZONA,2000,1534113,685341.0,781652.0,4.0,68020,44.0,0.2683697535478562,52.5,3787172.0,519627,1514406,1081807,671332,0.4467343670251148,0.5095139667025832,False
ARKANSAS,2000,921781,422768.0,472940.0,4.2,50780,44.0,0.1924449325237744,50.5,1998210.0,263749,749201,610756,374504,0.4586425626043496,0.5130719769663293,False
CALIFORNIA,2000,10965856,5861203.0,4567429.0,4.9,80050,42.0,0.32881627514481515,57.9,24720888.0,3391356,10724282,6996801,3608449,0.5344957110507379,0.4165136766340904,True
COLORADO,2000,1741365,738227.0,883745.0,2.7,82480,41.0,0.360221325065402,57.2,3220245.0,433665,1404449,963845,418286,0.423935820462683,0.507501299268103,False
CONNECTICUT,2000,1459525,816015.0,561094.0,2.1,85780,45.0,0.30714087172345633,59.5,2569535.0,272527,1031174,795082,470752,0.5590962813244035,0.384436032270773,True
DELAWARE,2000,327529,180068.0,137288.0,3.4,86110,44.0,0.25475473747320115,64.8,591459.0,75953,236255,177082,102169,0.5497772716309091,0.4191628832866708,True
DISTRICT OF COLUMBIA,2000,201894,171923.0,18073.0,5.7,70480,41.0,0.33785944003026863,71.7,457543.0,73084,188950,125745,69764,0.8515508137933767,0.08951727143946824,True
FLORIDA,2000,5960660,2911417.0,2911215.0,3.7,66440,45.0,0.25406422492812275,59.6,12392635.0,1341695,4574160,3664625,2812155,0.4884386963859707,0.48840480752131477,True
GEORGIA,2000,2596804,1116230.0,1419720.0,3.5,71640,41.0,0.2686066064152533,50.9,6050727.0,844819,2656884,1760584,788440,0.42984761268081845,0.5467181966756058,False
HAWAII,2000,367871,205242.0,137819.0,4.2,88130,44.0,0.30260085164260714,44.1,918167.0,116069,361421,279562,161115,0.557918400743739,0.37463947960018595,True
IDAHO,2000,501621,138637.0,336937.0,4.6,64310,43.0,0.259135176423161,56.1,929000.0,139787,362462,280293,146458,0.2763779825804741,0.6716963603995846,False
ILLINOIS,2000,4742123,2589026.0,2019421.0,4.5,78760,42.0,0.28598193979193237,62.0,9189217.0,1216712,3787941,2683910,1500654,0.5459634851310268,0.42584745271263524,True
INDIANA,2000,2199305,901980.0,1245836.0,3.0,69870,43.0,0.19250291091616986,59.6,4516877.0,618678,1787894,1356493,753812,0.4101204698757107,0.5664680433136832,False
IOWA,2000,1315563,638517.0,634373.0,2.7,70090,45.0,0.22296381994453948,67.4,2195730.0,299309,805939,654102,436380,0.4853564595538184,0.48220647737888644,True
KANSAS,2000,1072216,399276.0,622332.0,3.7,70200,43.0,0.275183229385115,61.7,1979794.0,276874,767825,578567,356528,0.3723839226424526,0.580416632469577,False
KENTUCKY,2000,1544187,638898.0,872492.0,4.2,62010,43.0,0.17291285923797595,56.4,3054037.0,404122,1207861,936459,505595,0.4137439312725726,0.5650170607575378,False
